Id,firstName,lastName,email,balance
customer(12369) [id = 12369, firstName = Meghan, lastName = Arias, email = mariasc0@un.org, balance = 4696.60]
customer(12793) [id = 12793, firstName = Helen, lastName = Antoniat, email = hantoniata9@mit.edu, balance = 926.58]
customer(13084) [id = 13084, firstName = Megen, lastName = Abrahams, email = mabrahamsds@baidu.com, balance = 17285.92]
customer(13913) [id = 13913, firstName = Gillie, lastName = Adlam, email = gadlammg@lycos.com, balance = 12760.79]
customer(13985) [id = 13985, firstName = Arlette, lastName = Acuna, email = aacuna7a@nhs.uk, balance = 19651.82]
customer(14331) [id = 14331, firstName = Alie, lastName = Aindriu, email = aaindriuj@fda.gov, balance = 408.28]
customer(14932) [id = 14932, firstName = Melody, lastName = Attwell, email = mattwella4@state.gov, balance = 7869.02]
customer(15614) [id = 15614, firstName = Torrance, lastName = Arnault, email = tarnaultce@nifty.com, balance = 16590.61]
customer(16036) [id = 16036, firstName = Marcello, lastName = Aleksashin, email = maleksashina3@apache.org, balance = 6434.37]
customer(16070) [id = 16070, firstName = Olivier, lastName = Audus, email = oauduscb@sciencedirect.com, balance = 19044.74]
customer(16810) [id = 16810, firstName = Davidde, lastName = Aggus, email = daggus8y@typepad.com, balance = 16135.89]
customer(17164) [id = 17164, firstName = Quinta, lastName = Almon, email = qalmonk2@opera.com, balance = 18169.47]
customer(17482) [id = 17482, firstName = Kelci, lastName = Abrashkin, email = kabrashkinia@bbb.org, balance = 8729.49]
customer(18394) [id = 18394, firstName = Neilla, lastName = Avieson, email = naviesong7@github.com, balance = 11025.41]
customer(18423) [id = 18423, firstName = Jeramey, lastName = Athridge, email = jathridgem4@blogger.com, balance = 9942.71]
customer(18752) [id = 18752, firstName = Maurizio, lastName = Andrus, email = mandrusr3@nbcnews.com, balance = 19263.84]
customer(20265) [id = 20265, firstName = Christal, lastName = Aldrich, email = caldrichq4@huffingtonpost.com, balance = 17933.46]
customer(20764) [id = 20764, firstName = Forrest, lastName = Aloshikin, email = faloshikin50@oaic.gov.au, balance = 5801.42]
customer(20943) [id = 20943, firstName = Clemente, lastName = Antonsson, email = cantonsson79@t-online.de, balance = 19732.37]
customer(21202) [id = 21202, firstName = Madonna, lastName = Abeles, email = mabeles7r@ted.com, balance = 1533.96]
customer(21362) [id = 21362, firstName = Kakalina, lastName = Amps, email = kamps3g@princeton.edu, balance = 18557.50]
customer(21724) [id = 21724, firstName = Janna, lastName = Andriulis, email = jandriulis8j@elpais.com, balance = 17231.05]
